internal_id, planet_name                  , star_name                  , num_stars, num_planets, num_moons, is_circumbinary, discovery_method             , discovery_year, discovery_locale, discovery_facility                            , discovery_telescope                                        , discovery_instrument                      , orbital_period       , orbit_radius    , radius_earth, mass_earth   , planet_density, eccentricity, insolation_flux, planet_temp, has_transit_variations, spectral_type   , star_temp, star_radius, star_mass, star_metallicity, star_luminosity, star_gravity, star_age, ra_deg     , dec_deg    , distance_pc  , star_brightness
       6068, WASP-92 b                    , WASP-92                    ,         1,           1,         0,               0, Transit                      ,           2016, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.17467420000,     0.0348000000,  16.37634900,  255.85315000,       0.346000,     0.000000,       1622.2528,     1871.00,                      0, F7              ,   6280.00,    1.341000,  1.190000, 0.0000          , 0.27461        ,     4.259000,   2.2900, 246.6920395, 51.0411328 ,  575.88900000,      12.8183000
       6069, WASP-93 b                    , WASP-93                    ,         1,           1,         0,               0, Transit                      ,           2016, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.73253210000,     0.0421100000,  17.90077300,  467.21010000,       0.479000,     0.000000,       2531.1336,     1942.00,                      0, F4              ,   6700.00,    1.524000,  1.334000, 0.0700          , 0.61784        ,     4.197000,   0.7000,   9.4587443, 51.2887780 ,  370.28400000,      10.9780000
       6070, WASP-94 A b                  , WASP-94 A                  ,         2,           2,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         3.95019000000,     0.0550000000,  17.71022000,  158.91500000,       0.118000,     0.000000,       1009.3800,     1604.00,                      0, F8              ,   6170.00,    1.480000,  1.670000, 0.2600          , 0.50992        ,     4.270000,   2.7000, 313.7832393, -34.1357512,  211.21100000,      10.0285000
       6071, WASP-94 B b                  , WASP-94 B                  ,         2,           2,         0,               0, Radial Velocity              ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.00839000000,     0.0335000000,  14.10000000,  196.41100000,       0.385000,     0.000000,                ,            ,                      0, F9              ,   6040.00,    1.350000,  1.240000, 0.2300          , 0.35112        ,     4.260000,   4.0000, 313.7882932, -34.1357240,  208.69600000,      10.4055000
       6072, WASP-95 b                    , WASP-95                    ,         1,           1,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.18467000000,     0.0341600000,  13.78707000,  457.67520000,       0.840000,     0.000000,       1362.1381,     1570.00,                      0, G2              ,   5830.00,    1.230000,  1.460000, 0.1400          , 0.17781        ,     4.360000,   2.4000, 337.4578243, -48.0030988,  137.54400000,       9.9369700
       6073, WASP-96 b                    , WASP-96                    ,         1,           1,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         3.42526020000,     0.0453000000,  13.45000000,  152.55000000,       0.370000,     0.000000,        517.0000,     1285.00,                      0, G8              ,   5540.00,    1.050000,  1.060000, 0.1400          , 0.03226        ,     4.420000,   8.0000,   1.0465696, -47.3606352,  352.46400000,      12.3833000
       6074, WASP-97 b                    , WASP-97                    ,         1,           1,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.07276000000,     0.0330300000,  12.77826000,  432.24880000,       1.210000,     0.000000,       1414.8700,     1555.00,                      0, G5              ,   5640.00,    1.080000,  1.180000, 0.2300          , 0.07149        ,     4.450000,   4.8000,  24.6051389, -55.7720006,  151.06800000,      10.4238000
       6075, WASP-98 b                    , WASP-98                    ,         2,           1,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.96264036000,     0.0376200000,  12.82309600,  293.03926000,       0.764000,     0.000000,        269.8828,     1171.00,                      0, G7              ,   5473.00,    0.741000,  0.809000, -0.4900         , -0.35780       ,     4.606000,   2.7000,  58.4290113, -34.3282716,  281.74200000,      12.8678000
       6076, WASP-99 b                    , WASP-99                    ,         1,           1,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         5.75251000000,     0.0717000000,  11.43318000,  772.32690000,       2.790000,     0.000000,        828.8268,     1480.00,                      0, F8              ,   6150.00,    1.640000,  1.210000, 0.2100          , 0.54330        ,     4.300000,   3.0000,  39.8976689, -50.0081934,  158.66000000,       9.3251000
       6077, WD 0806-661 b                , WD 0806-661                ,         1,           1,         0,               0, Imaging                      ,           2011, Space           , Spitzer Space Telescope                       , 0.85 m Spitzer Space Telescope                             , IRAC Infrared Array Camera                ,                      ,  2500.0000000000,  12.60000000, 2542.62725600,       6.980000,             ,                ,      340.00,                      0, DQ              ,   9552.00,            ,  0.620000,                 ,                ,             ,   2.1000, 121.7275683, -66.3058835,   19.24440000,      13.6826000
       6078, WD 1856+534 b                , WD 1856+534                ,         3,           1,         0,               0, Transit                      ,           2020, Space           , Transiting Exoplanet Survey Satellite (TESS)  , 0.1 m TESS Telescope                                       , TESS CCD Array                            ,         1.40794050000,     0.0204000000,  10.40000000, 4386.05400000,      21.400000,     0.000000,          0.1810,      163.00,                      0, DC              ,   4710.00,    0.013100,  0.518000,                 , -4.12000       ,     7.915000,   7.9300, 284.4156750, 53.5090244 ,   24.73590000,      16.9580000
